feature,importance
article_id_1_AA1821,0.0020159646
article_id_1_PQ6773,0.0020158964
article_id_1_GD2286,0.0020098768
main_closest_color_rosybrown,0.0020035652
article_id_2_GG8661,0.0019942606
article_id_1_NY5947,0.001978027
main_closest_color_lightskyblue,0.0019776556
article_id_1_ZC7213,0.0019630978
main_closest_color_goldenrod,0.0019604568
article_id_1_SA2925,0.001960296
article_id_1_RC5832,0.0019521558
article_id_1_SF1988,0.0019501991
country_Germany,0.001945049
main_closest_color_silver,0.0019405492
article_id_1_TN7113,0.0019277806
article_id_1_KI2338,0.0019244393
gender_kids,0.0019205045
article_id_1_RN5619,0.0019055634
article_id_1_IO7646,0.0018942845
article_id_1_BJ4373,0.0018754104
country_Austria,0.0018734684
article_id_1_PV1343,0.0018732928
article_id_1_JA4544,0.0018725026
article_id_1_NQ1161,0.0018672122
article_id_1_CB4942,0.0018632092
article_id_1_LG5858,0.0018624434
article_id_1_NL2136,0.001853016
category_RUNNING,0.0018462841
article_id_1_EZ8648,0.0018435678
article_id_1_KL1526,0.0018368395
sec_closest_color_lightblue,0.0018261845
article_id_1_YV6825,0.0018229987
article_id_1_FX1729,0.0018210147
style_wide,0.0018194944
article_id_1_VC4517,0.0018193573
article_id_1_RH5979,0.0018192783
article_id_1_WP4135,0.0018021965
article_id_1_LY8874,0.0018016424
article_id_1_AJ7542,0.0017944546
article_id_1_RO5412,0.0017892396
article_id_1_PW6278,0.0017872853
article_id_2_VT7698,0.0017824341
article_id_1_MW7971,0.0017638532
article_id_1_BI5591,0.0017616666
article_id_1_SV7732,0.001761331
article_id_1_SW2464,0.0017601063
article_id_1_FP7124,0.0017491933
article_id_1_NW3584,0.0017467332
article_id_1_UG2991,0.0017448068
article_id_1_JG6384,0.0017430586
article_id_2_OC6355,0.0017248188
main_closest_color_gray,0.0017207533
article_id_1_YX2167,0.0017090423
article_id_1_PB1483,0.0017059783
productgroup_SWEATSHIRTS,0.0017032363
article_id_1_GP3497,0.0017003281
category_TRAINING,0.0016861163
category_FOOTBALL GENERIC,0.0016797303
sec_closest_color_lavender,0.0016765443
country_France,0.0016744308
cost_article_2,0.0016705979
article_id_1_RX4112,0.0016626146
productgroup_HARDWARE ACCESSORIES,0.0016422357
gender_women,0.001637742
article_id_1_PQ4964,0.0016297936
article_id_1_SH7883,0.0016152976
article_id_1_MK5273,0.0016134873
article_id_1_OU2254,0.0016078014
article_id_1_HD1628,0.0015988773
article_id_1_NK3982,0.0015913502
article_id_1_AA7884,0.0015863152
article_id_1_FS5149,0.0015778476
article_id_1_EF6812,0.00157515
article_id_1_BH9952,0.0015711511
article_id_1_DG7643,0.0015542248
article_id_1_HZ4826,0.001540278
year,0.0015326337
article_id_1_FK6357,0.0015276218
article_id_1_VM7772,0.0015271391
article_id_1_JY1726,0.0015242557
article_id_1_PL6969,0.0015231243
article_id_1_TA7629,0.0015225814
article_id_1_ZU5523,0.0015171194
sec_closest_color_rosybrown,0.0015040666
article_id_1_HB1693,0.0014965839
article_id_1_JC1565,0.0014962036
article_id_1_PV7587,0.0014869008
article_id_1_ON6325,0.0014854993
article_id_1_XH6675,0.0014728502
article_id_1_AZ6626,0.0014622817
article_id_1_GT5685,0.0014615158
article_id_1_WM7783,0.0014588756
article_id_1_EZ3428,0.0014474844
article_id_1_LU3394,0.0014427123
style_regular,0.0014413885
article_id_1_OE7548,0.001429564
article_id_1_NJ3895,0.0014105098
article_id_1_AT7497,0.0013968771
article_id_1_XI5411,0.0013882333
article_id_1_FY5273,0.0013862891
article_id_1_SE2934,0.001381624
article_id_1_VF6733,0.0013740549
article_id_1_AO8265,0.0013733724
article_id_1_KY7934,0.001355697
article_id_1_TN5256,0.0013522947
productgroup_SHOES,0.0013477643
article_id_1_VX8496,0.0013424741
article_id_1_KO9295,0.0013417613
article_id_1_AR4473,0.001336986
article_id_1_BZ8791,0.0013358424
article_id_1_LD1896,0.0013286473
article_id_1_PC6383,0.0013232301
article_id_1_AF5746,0.0013207142
article_id_1_QL6154,0.0013193667
article_id_1_KJ9185,0.0013127096
article_id_1_CB8861,0.0013024943
article_id_1_JM7648,0.0013021403
article_id_1_MW9292,0.0013007993
article_id_1_EM9513,0.001294012
article_id_1_QO8312,0.0012905735
article_id_1_KT2132,0.0012734057
article_id_1_HW7772,0.0012724665
article_id_1_MG2169,0.0012623189
article_id_1_OU5334,0.0012463672
article_id_1_EB5477,0.0012442502
article_id_1_MZ9561,0.0012423799
article_id_1_GR3986,0.0012381981
article_id_1_BE2333,0.0012249643
article_id_1_SJ4545,0.0012198667
